m,n,k,avg
0,425,294,3047,0.0230255
0,1605,425,294,0.0121462
0,1605,1212,2785,0.304605
0,294,2523,556,0.0299209
0,1081,32,1212,0.00650563
0,1867,3441,1343,0.543101
0,3047,3047,32,0.0447783
0,163,2916,1605,0.0477632
0,3834,294,1474,0.0919807
0,2523,1343,1212,0.246885
0,2916,2130,1081,0.384633
0,32,2785,2654,0.0512629
0,3178,1081,425,0.0748213
0,1474,950,2392,0.212086
0,950,2392,2392,0.306544
0,2261,2654,556,0.200956
0,1605,2130,2916,0.55845
0,294,556,2130,0.0228957
0,294,1867,163,0.00574566
0,687,3178,294,0.0424504
0,163,163,3178,0.00739009
0,556,1736,950,0.0527706
0,163,1474,1212,0.0197423
0,1736,556,163,0.00914332
0,950,425,1998,0.0608005
0,32,294,32,0.000304529
0,425,1081,1998,0.0626491
0,32,1081,2261,0.0120581
0,2785,32,1605,0.0157571
0,1998,1998,1081,0.282293
0,1081,819,1736,0.0937309
0,294,3047,3047,0.192331
0,2261,425,425,0.0273489
0,1474,294,2261,0.0519999
0,2523,2130,687,0.210891
0,950,556,3309,0.10799
0,2654,687,1736,0.181877
0,950,2916,3309,0.561383
0,819,2261,163,0.0169673
0,294,1081,2785,0.0543989
0,687,294,1343,0.0204929
0,163,1736,1736,0.0260913
0,1343,556,1867,0.0867881
0,556,163,294,0.00202555
0,32,3178,2654,0.0378396
0,1736,1081,556,0.0649541
0,32,1867,687,0.00707954
0,1212,163,819,0.0123261
0,425,556,3441,0.0575134
0,2392,1343,32,0.015575
0,819,32,3178,0.0116106
0,1081,294,3965,0.0965127
0,2654,1212,3178,0.567625
0,163,2654,950,0.0227573
0,3834,32,3965,0.0645512
0,2130,819,425,0.0513682
0,950,950,3834,0.219723
0,2523,1605,32,0.0196293
0,3309,425,687,0.0492679
0,32,3047,1998,0.0324935
0,3703,425,819,0.0788948
0,1998,4096,1605,0.722956
0,3178,32,1736,0.0222729
0,2261,1081,2261,0.31232
0,1605,3178,1081,0.312686
0,819,3834,556,0.0987139
0,294,1605,819,0.020497
0,687,819,687,0.0267365
0,163,950,2261,0.0237298
0,32,556,3309,0.00755382
0,950,1474,2785,0.236058
